id,create_date,state,sentiment,text
90d21b5c-0c3a-4b53-9c70-8e0f423522e8,2020-12-05 00:28:29,texas,UNKNOWN,RT @DrEricDing: Grim forecast: 539 000 American dead by end of April. Basically another quarter million dead before we get this under contr…
3843b926-d630-4a03-a5b4-83d2d063fc85,2020-12-05 00:28:28,texas,UNKNOWN,RT @B52Malmet: There is something so calming about Joe Biden facing enormously daunting tasks ahead as he speaks to us about how he intends…
3c777b1b-8e56-48a1-8f15-08eb6733a087,2020-12-05 00:28:27,texas,UNKNOWN,RT @cskoerner: On November 20 2020 #Pennsylvania legislators passed H.B. 1737 which affords #healthcare providers and other #businesses…
94cb0093-81d3-4098-80ca-3084bbb08489,2020-12-05 00:28:26,texas,UNKNOWN,RT @Cleavon_MD: This is the reality for healthcare workers on the frontline when the @GOP spreads misinformation about COVID19. We can't co…
1e82d74c-c478-4f1e-ac74-2ae4c6fc64f0,2020-12-05 00:28:26,texas,UNKNOWN,RT @RSNA: COVID-19 has affected children in a variety of ways and imaging has shown unique presentations of #COVID19 in children. Researche…
525eee1d-866a-4322-8993-50ca06dfd5f6,2020-12-05 00:28:25,texas,UNKNOWN,RT @DrEricDing: “There is no need for an Ebola Czar” ~Sen Perdue in 2014. That Ebola Czar impressed everyone including Dr Fauci. He also l…
45de831c-a7b5-4dd9-b3ee-6d146d06058a,2020-12-05 00:28:25,texas,UNKNOWN,RT @taradublinrocks: It’s not surprising that a traitorous rape enabling trunk monkey who looked the other way when wrestlers were being ra…
974953b3-842a-4f90-a48c-aeb04de6198c,2020-12-05 00:28:24,texas,UNKNOWN,RT @DrEricDing: Rick Santelli is also the crazy guy who once said he hopes to **infect everyone** and get this over with so stock market ca…
be190273-7b56-405e-b125-4a7306d031f1,2020-12-05 00:28:24,texas,UNKNOWN,RT @MussenToevlucht: The race for a #vaccine for #COVID19 has added yet another threat to #sharks who are targeted for their liver oil. #P…
e41e2b7f-823a-4289-8a6a-fe9a04f463b6,2020-12-05 00:28:23,texas,UNKNOWN,"RT @peta: Stop referring to humans who are volunteering in #COVID19 vaccine trials as “guinea pigs ” just use ""trial participants."" Using…"
a0216cfd-4dbf-4847-9229-bcfbb136be95,2020-12-05 00:28:23,texas,UNKNOWN,#Florida This could be an example of why you guys are in so much trouble with Covid down there. If leader ship doesn’t take things seriously and no one else will either. What a tool. I’m glad he doesn’t represent me. #COVID19 https://t.co/2vN6pOXpt1
58a67ec6-7f51-44b6-a202-c29f181e15f5,2020-12-05 00:28:23,texas,UNKNOWN,MUMPS - Fever headache fatigue &amp; Loss of appetite REPORT CORONAVIRUS FRAUD https://t.co/qmFY5tOUrt #COVID19 #CORONAVIRUS #MILITARY #NEWS #LOCKDOWNS #BAREXAMS #GAYPRIDE2020 #JOEBIDEN #TRUMP2020
ad0b4a3d-114a-459e-a8bd-6f7f4eae3328,2020-12-05 00:28:23,texas,UNKNOWN,RT @LotusOak2: The CDC Just Gave Us the Biggest Reason to End the #Coronavirus Lockdowns https://t.co/zmVy3dUxsJ #COVID19
81fb4648-1738-44e9-937c-b6b0b470dd0b,2020-12-05 00:28:23,texas,UNKNOWN,RT @davidmweissman: If a parent did to their child what Mitch McConnell is doing to America in the middle of #COVID19 pandemic they would…
6396f313-9b69-4824-9a0d-7e34b3293a1a,2020-12-05 00:28:21,texas,UNKNOWN,RT @DrDenaGrayson: Trump and the @GOP fiddle (maskless) while Rome burns.🤬 We are only just entering the depths of hell in this #pandemic…
25ac7827-a272-4d64-963b-ed770339190d,2020-12-05 00:28:20,texas,UNKNOWN,RT @taradublinrocks: It’s not surprising that a traitorous rape enabling trunk monkey who looked the other way when wrestlers were being ra…
91a400b5-49bd-48d0-968f-7affe514e31c,2020-12-05 00:28:20,texas,UNKNOWN,RT @DrEricDing: 📍WALL STREET BANKERS ARE NOT MORE “ESSENTIAL” THAN TEACHERS &amp; 1ST RESPONDERS—American Bankers Association is petitioning to…
dd4d6ce4-c1f8-465d-9127-86f87ed9a1fe,2020-12-05 00:28:18,texas,UNKNOWN,4/ Daily New Recovery Vs 7 day Avg. Trend (As on 04.12.2020): #AndamanNicobar #DailyRecovery #COVID19 #ANCovidTracking #AndamanFightsCOVID19 @CovidTrackingIn @covid19indiaorg @RijoMJohn https://t.co/xwN449PgNf
5cd90f9a-8836-4702-8cde-608e32f1d0db,2020-12-05 00:28:18,texas,UNKNOWN,RT @morethanmySLE: 🔥WATCH: Speaker Pelosi fighting tooth &amp; nail for #COVID19 relief FOR THE PEOPLE while Mitch McConnell has politicized Am…
4765eb0c-16ab-4ee7-a15b-33ca80fff3de,2020-12-05 00:28:18,texas,UNKNOWN,RT @DrEricDing: 📍DESPERATE PLEAS for ICU bed for mom via @Facebook—A son frantically tries to find hospital ICU bed w/ ECMO to save his mom…
60880061-2377-4417-be0b-ce571519c1bb,2020-12-05 00:28:17,texas,UNKNOWN,"RT @CTZebra: Marie ""Eunice"" Maurisseau CNA with 30 yrs of service LICH/Brookhaven New York died of #covid19 5/11. She had a wonderful h…"
4ed224ee-068b-41f0-b03d-b0e55bad22ed,2020-12-05 00:28:15,texas,UNKNOWN,RT @SenSanders: Given the enormous economic desperation facing working families in this country today I will not be able to support the re…
ca799aa6-5db9-41f8-9b92-ca1e20bb11fe,2020-12-05 00:28:15,texas,UNKNOWN,RT @EricTopol: The marked success of face masks in reducing new #COVID19 infections in Germany by at least 45% https://t.co/STrj3UaKD8 @P…
0b4f0393-3901-43f3-a9d9-1bfd1212ddd0,2020-12-05 00:28:14,texas,UNKNOWN,RT @AMWADoctors: Older Americans have spent months at home limiting their activities &amp; denying them their families &amp; communities time toge…
41f9e316-0d95-49d4-b6af-5f214bddd6fd,2020-12-05 00:28:14,texas,UNKNOWN,RT @Asamoh_: Cuban doctors are paid Kshs 800 000 each in salary. Free house and Tranpsort allowance. Now MoH wants to give them vehicles to…
